DATABASE_ID,DRUGBANK_ID,DRUG_GROUPS,GENERIC_NAME,SMILES
DB00202,DB00202,approved,Succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,DB00203,approved; investigational,Sildenafil,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1
DB00204,DB00204,approved; investigational,Dofetilide,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
DB00205,DB00205,approved; investigational; vet_approved,Pyrimethamine,CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1
DB00206,DB00206,approved; investigational; withdrawn,Reserpine,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2
DB00208,DB00208,approved,Ticlopidine,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2
DB00210,DB00210,approved,Adapalene,COC1=C(C=C(C=C1)C1=CC2=C(C=C1)C=C(C=C2)C(O)=O)C12CC3CC(CC(C3)C1)C2
DB00211,DB00211,approved,Midodrine,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1
DB00213,DB00213,approved,Pantoprazole,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1
DB00214,DB00214,approved,Torasemide,CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1
DB00215,DB00215,approved,Citalopram,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1
DB00216,DB00216,approved; investigational,Eletriptan,CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2
DB00217,DB00217,approved,Bethanidine,CN\C(NCC1=CC=CC=C1)=N/C
DB00218,DB00218,approved; investigational,Moxifloxacin,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O
DB00219,DB00219,approved,Oxyphenonium,CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
DB00220,DB00220,approved,Nelfinavir,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C
DB00221,DB00221,approved,Isoetharine,CCC(NC(C)C)C(O)C1=CC(O)=C(O)C=C1
DB00223,DB00223,approved,Diflorasone,[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C
DB00224,DB00224,approved,Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12
DB00226,DB00226,approved,Guanadrel,NC(N)=NCC1COC2(CCCCC2)O1
DB00227,DB00227,approved; investigational,Lovastatin,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC
DB00228,DB00228,approved; investigational; vet_approved,Enflurane,FC(F)OC(F)(F)C(F)Cl
DB00229,DB00229,approved; investigational,Cefotiam,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O
DB00230,DB00230,approved; investigational,Pregabalin,CC(C)C[C@H](CN)CC(O)=O
DB00231,DB00231,approved; investigational,Temazepam,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1
DB00232,DB00232,withdrawn,Methyclothiazide,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O
DB00233,DB00233,approved,Aminosalicylic acid,NC1=CC(O)=C(C=C1)C(O)=O
DB00234,DB00234,approved; experimental,Reboxetine,[H][C@@]1(CNCCO1)[C@H](OC1=CC=CC=C1OCC)C1=CC=CC=C1
DB00235,DB00235,approved,Milrinone,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1
DB00236,DB00236,approved,Pipobroman,BrCCC(=O)N1CCN(CC1)C(=O)CCBr
DB00237,DB00237,approved; illicit,Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238,DB00238,approved,Nevirapine,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1
DB00239,DB00239,approved,Oxiconazole,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1
DB00240,DB00240,approved,Alclometasone,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C
DB00241,DB00241,approved; illicit,Butalbital,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
DB00242,DB00242,approved; investigational,Cladribine,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1
DB00243,DB00243,approved; investigational,Ranolazine,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1
DB00244,DB00244,approved,Mesalazine,NC1=CC(C(O)=O)=C(O)C=C1
DB00246,DB00246,approved,Ziprasidone,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1
DB00247,DB00247,approved,Methysergide,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO
DB00248,DB00248,approved,Cabergoline,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC
DB00249,DB00249,approved; investigational,Idoxuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O
